1.4336	1.4336	1.4336	1.4336	-5.12	
1.024	1.2288	0.4096	0.6144	-5.12	
1.024	1.024	1.2288	1.2288	-5.12	
1.024	1.024	1.024	1.024	-5.12	
1.024	0.4096	0.4096	1.024	-5.12	
1.024	0.2048	1.024	1.024	-5.12	
1.024	0.2048	0.2048	1.024	-5.12	
0.8192	1.024	1.024	1.2288	-5.12	
0.8192	1.024	0.4096	1.024	-5.12	
0.8192	0.8192	1.4336	1.024	-5.12	
0.8192	0.8192	1.2288	1.2288	-5.12	
0.8192	0.8192	1.024	1.024	-5.12	
0.8192	0.8192	0.8192	1.2288	-5.12	
0.8192	0.8192	0.8192	0.8192	-5.12	
0.6144	1.4336	1.4336	1.4336	-5.12	
0.6144	1.2288	1.4336	0.4096	-5.12	
0.6144	1.2288	1.2288	1.4336	-5.12	
0.6144	1.2288	1.2288	1.024	-5.12	
0.6144	1.024	1.024	1.024	-5.12	
0.6144	1.024	1.024	0.6144	-5.12	
0.6144	0.8192	1.024	1.2288	-5.12	
0.6144	0.8192	0.8192	1.4336	-5.12	
0.6144	0.8192	0.8192	1.024	-5.12	
0.6144	0.6144	1.4336	1.4336	-5.12	
0.6144	0.6144	1.4336	1.024	-5.12	
0.6144	0.6144	1.2288	1.2288	-5.12	
0.6144	0.6144	1.2288	0.8192	-5.12	
0.6144	0.6144	0.8192	0.8192	-5.12	
0.6144	0.6144	0.8192	-4.996003611e-16	-5.12	
0.6144	0.6144	0.6144	1.4336	-5.12	
0.6144	0.6144	0.6144	1.024	-5.12	
0.6144	0.6144	0.6144	0.6144	-5.12	
0.4096	1.2288	1.4336	1.4336	-5.12	
0.4096	1.024	1.024	1.2288	-5.12	
0.4096	0.8192	1.2288	1.2288	-5.12	
0.4096	0.8192	1.024	1.024	-5.12	
0.4096	0.8192	1.024	0.6144	-5.12	
0.4096	0.8192	0.8192	1.2288	-5.12	
0.4096	0.8192	0.8192	0.8192	-5.12	
0.4096	0.6144	0.6144	1.2288	-5.12	
0.4096	0.6144	0.6144	0.8192	-5.12	
0.4096	0.6144	0.4096	0.6144	-5.12	
0.4096	0.4096	1.4336	1.4336	-5.12	
0.4096	0.4096	1.2288	1.2288	-5.12	
0.4096	0.4096	1.024	1.4336	-5.12	
0.4096	0.4096	0.8192	1.2288	-5.12	
