0.048780 0.048780 0.804878 
0.060976 0.060976 0.756098 
0.134146 0.158537 0.463415 
0.231707 0.182927 0.292683 
0.243902 0.195122 0.280488 
0.256098 0.182927 0.280488 
0.256098 0.207317 0.268293 
0.268293 0.195122 0.268293 
0.280488 0.182927 0.268293 
0.268293 0.219512 0.256098 
0.280488 0.207317 0.256098 
0.292683 0.195122 0.256098 
0.073171 0.073171 0.707317 
0.207317 0.182927 0.304878 
0.195122 0.231707 0.292683 
0.231707 0.182927 0.292683 
0.219512 0.231707 0.280488 
0.256098 0.182927 0.280488 
0.195122 0.268293 0.268293 
0.243902 0.231707 0.268293 
0.207317 0.256098 0.268293 
0.219512 0.219512 0.280488 
0.231707 0.231707 0.268293 
0.243902 0.219512 0.268293 
0.195122 0.292683 0.256098 
0.207317 0.280488 0.256098 
0.219512 0.268293 0.256098 
0.231707 0.231707 0.268293 
0.243902 0.243902 0.256098 
0.231707 0.256098 0.256098 
0.243902 0.243902 0.256098 
0.256098 0.231707 0.256098 
0.097561 0.097561 0.609756 
0.195122 0.243902 0.280488 
0.219512 0.243902 0.268293 
0.292683 0.292683 0.207317 
0.207317 0.378049 0.207317 
0.085366 0.085366 0.658537 
0.012195 0.012195 0.951220 
0.024390 0.024390 0.902439 
0.036585 0.036585 0.853659 
0.121951 0.121951 0.512195 
0.109756 0.109756 0.560976 
0.207317 0.207317 0.292683 
0.195122 0.195122 0.304878 
0.231707 0.207317 0.280488 
0.219512 0.195122 0.292683 
0.134146 0.134146 0.463415 
0.243902 0.195122 0.280488 
0.268293 0.219512 0.256098 
0.243902 0.243902 0.256098 
0.158537 0.158537 0.365854 
0.170732 0.182927 0.329268 
0.182927 0.170732 0.329268 
0.170732 0.207317 0.317073 
0.182927 0.195122 0.317073 
0.195122 0.182927 0.317073 
0.207317 0.170732 0.317073 
0.182927 0.219512 0.304878 
0.195122 0.207317 0.304878 
0.207317 0.195122 0.304878 
0.219512 0.182927 0.304878 
0.182927 0.243902 0.292683 
0.207317 0.219512 0.292683 
0.219512 0.207317 0.292683 
0.231707 0.195122 0.292683 
0.243902 0.182927 0.292683 
0.365854 0.292683 0.170732 
0.000000 0.024390 1.000000 
0.280488 0.231707 0.243902 
0.304878 0.231707 0.231707 
0.329268 0.231707 0.219512 
0.243902 0.317073 0.219512 
0.268293 0.292683 0.219512 
0.353659 0.231707 0.207317 
0.243902 0.341463 0.207317 
0.280488 0.304878 0.207317 
0.378049 0.231707 0.195122 
0.195122 0.268293 0.268293 
0.182927 0.280488 0.268293 
0.292683 0.317073 0.195122 
0.402439 0.231707 0.182927 
0.402439 0.207317 0.195122 
0.304878 0.329268 0.182927 
0.207317 0.329268 0.231707 
